symbol,entry_date,entry_close,peak_date,peak_close,multiple,days_to_peak,shares,entry_mcap_approx,cap_bucket
AQMS,2019-12-13,112.80000305175781,2021-02-19,1202.0,10.65602808049985,434,3563531.0790849933,401966316.5958211,300M-2B
AQMS,2020-03-13,100.0,2021-02-19,1202.0,12.02,343,3563531.0790849933,356353107.90849936,300M-2B
AQMS,2020-04-24,116.0,2021-02-19,1202.0,10.362068965517242,301,3563531.0790849933,413369605.17385924,300M-2B
AR,2019-11-29,1.9900000095367432,2021-11-05,20.989999771118164,10.54773852790306,707,307439000.0,611803612.9319668,300M-2B
AR,2020-01-24,1.909999966621399,2021-11-05,20.989999771118164,10.989528868027888,651,307439000.0,587208479.7381163,300M-2B
ARCT,2018-06-01,5.630000114440918,2020-05-22,58.27000045776367,10.349911060978748,721,28423069.02255639,160021881.8497546,50-300M
ARCT,2018-10-26,4.800000190734863,2020-08-21,62.650001525878906,13.052083132581586,665,28423069.02255639,136430736.72954085,50-300M
ARCT,2018-11-23,6.269999980926514,2020-11-06,63.36000061035156,10.10526328597993,714,28423069.02255639,178212642.22930154,50-300M
ARCT,2019-08-09,10.460000038146973,2020-12-04,112.01000213623047,10.70841316708766,483,28423069.02255639,297305303.0601939,50-300M
ARCT,2019-09-06,10.630000114440918,2020-12-04,112.01000213623047,10.537159071528533,455,28423069.02255639,302137226.9625365,300M-2B
ARCT,2019-09-27,10.420000076293945,2020-12-04,112.01000213623047,10.749520279856732,434,28423069.02255639,296168381.38354564,50-300M
ARCT,2020-01-03,9.9399995803833,2020-12-04,112.01000213623047,11.26861236063666,336,28423069.02255639,282525294.1574161,50-300M
ARCT,2020-01-31,10.300000190734863,2020-12-04,112.01000213623047,10.874757287576225,308,28423069.02255639,292757616.353601,50-300M
ARCT,2020-03-13,9.3100004196167,2020-12-04,112.01000213623047,12.0311489890182,266,28423069.02255639,264618784.5267944,50-300M
ARMP,2025-04-04,1.2799999713897705,2026-04-24,12.920000076293945,10.093750285217546,385,37181979.12087912,47592932.21094032,<50M
ARMP,2025-05-09,1.2899999618530273,2026-04-24,12.920000076293945,10.015504231283032,350,37181979.12087912,47964751.64755412,<50M
ARQQ,2024-10-04,4.309999942779541,2025-10-03,49.91999816894531,11.582366318258382,364,24090585.00443656,103830419.99064724,50-300M
ARQT,2023-11-03,2.440000057220459,2025-10-31,25.309999465942383,10.372950357539919,728,125691960.99317664,306688392.0155027,300M-2B
ARWR,2016-12-02,1.440000057220459,2018-09-07,19.739999771118164,13.708332629667416,644,141254466.99522105,203406440.55576375,50-300M
ARWR,2017-01-20,1.8200000524520874,2018-09-07,19.739999771118164,10.846153407810318,595,141254466.99522105,257083137.34039396,50-300M
ARWR,2017-03-24,1.8700000047683716,2019-03-01,20.18000030517578,10.791443985945543,707,141254466.99522105,264145853.95461714,50-300M
ARWR,2017-10-27,3.6500000953674316,2019-10-25,38.54999923706055,10.561643350636643,728,141254466.99522105,515578818.00363255,300M-2B
ARWR,2018-03-23,6.75,2019-11-29,73.01000213623047,10.816296612774885,616,141254466.99522105,953467652.2177421,300M-2B
ASMB,2016-02-19,67.08000183105469,2018-02-16,681.8400268554688,10.164579729331654,728,20360595.994993743,1365788816.625545,300M-2B
ASMB,2016-03-11,67.68000030517578,2018-03-02,701.1599731445312,10.359928634499585,721,20360595.994993743,1378005143.1547372,300M-2B
